paper_figure,asset_pool,metric,top_n,holding_days,paper_value,native_reproduced_value,absolute_difference,extraction,status,paper_result_credit
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,30,20,0.555,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,1,-3.149,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,2,-1.439,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,3,-0.761,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,5,-0.227,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,7,-0.053,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,10,0.072,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,15,0.076,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,50,20,0.045,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,1,-3.206,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,2,-1.51,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,3,-0.843,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,5,-0.309,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,7,-0.122,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,10,0.018,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,15,0.041,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,70,20,0.013,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,1,-3.493,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,2,-1.716,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,3,-1.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,5,-0.333,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,7,-0.08,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,10,0.079,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,15,0.102,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,Sharpe,100,20,0.068,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,1,4.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,2,17.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,3,22.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,5,29.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,7,31.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,10,34.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,15,36.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,1,20,31.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,1,8.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,2,20.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,3,22.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,5,26.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,7,24.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,10,27.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,15,28.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,2,20,25.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,1,3.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,2,18.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,3,20.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,5,26.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,7,27.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,10,28.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,15,26.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,3,20,23.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,1,-1.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,2,11.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,3,16.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,5,20.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,7,22.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,10,21.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,15,19.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,5,20,19.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,1,-9.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,2,4.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,3,8.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,5,13.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,7,15.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,10,16.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,15,15.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,7,20,15.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,1,-9.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,2,3.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,3,8.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,5,13.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,7,14.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,10,14.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,15,13.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,10,20,12.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,1,-15.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,2,-2.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,3,2.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,5,6.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,7,7.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,10,8.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,15,7.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,20,20,6.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,1,-16.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,2,-4.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,3,-0.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,5,2.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,7,4.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,10,5.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,15,4.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,30,20,4.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,1,-20.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,2,-9.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,3,-5.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,5,-1.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,7,-0.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,10,0.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,15,0.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,50,20,0.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,1,-20.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,2,-10.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,3,-5.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,5,-2.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,7,-0.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,10,0.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,15,0.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,70,20,0.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,1,-21.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,2,-11.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,3,-6.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,5,-2.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,7,-0.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,10,0.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,15,0.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 300,CR_pct,100,20,0.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,1,20.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,2,20.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,3,19.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,5,17.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,7,13.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,10,15.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,15,11.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,1,20,10.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,1,18.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,2,18.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,3,18.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,5,16.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,7,14.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,10,15.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,15,13.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,2,20,11.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,1,17.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,2,16.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,3,16.1,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,5,15.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,7,14.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,10,15.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,15,12.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,3,20,11.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,1,16.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,2,14.9,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,3,14.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,5,13.5,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,7,13.0,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,10,13.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,15,11.7,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,5,20,11.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,7,1,14.8,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,7,2,13.3,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,7,3,12.6,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,7,5,11.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,7,7,11.2,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
Figure 3 Parameter Sensitivity and Generalization,CSI 1000,MDD_pct,7,10,12.4,,,original_arxiv_png_visible_cell_transcription,unavailable_raster_only_no_native_result_path_or_underlying_array,False
