bibtex_key,canonical_work_id,preferred_citation,primary_url,title,authors,year,venue,entry_type,source_identifier,primary_class,metadata_source,system_ids,system_names,strata,main_ft,inclusion_exclusion_rationale
CensusArxiv251223515,CensusArxiv251223515,yes,https://arxiv.org/abs/2512.23515,Alpha-R1: Alpha Screening with LLM Reasoning via Reinforcement Learning,Zuoyou Jiang; Li Zhao; Rui Sun; Ruohan Sun; Zhongjian Li; Jing Li; Daxin Jiang; Zuo Bai; Cheng Hua,2025,arXiv,misc,2512.23515,q-fin.TR,arXiv API,SYS-ALPHA-R1,Alpha-R1,F,yes,IN: reasoning/RL alpha screening.
CensusArxiv260200948,CensusArxiv260200948,yes,https://arxiv.org/abs/2602.00948,FinEvo: From Isolated Backtests to Ecological Market Games for Multi-Agent Financial Strategy Evolution,Mingxi Zou; Jiaxiang Chen; Aotian Luo; Jingyi Dai; Chi Zhang; Dongning Sun; Zenglin Xu,2026,arXiv,misc,2602.00948,physics.soc-ph,arXiv API,SYS-FIN-EVO,FinEvo,B,no,OUT: diagnostic environment.
CensusArxiv260207085,CensusArxiv260207085,yes,https://arxiv.org/abs/2602.07085,QuantaAlpha: An Evolutionary Framework for LLM-Driven Alpha Mining,Jun Han; Shuo Zhang; Wei Li; Yifan Dong; Tu Hu; Yumo Zhu; Xiaomin Yu; Xin Guo; Zhaowei Liu; Kunyi Wang; Jingping Liu; Tianyi Jiang; Ruichuan An; Sen Hu; Zhi Yang; Ronghao Che; Huacan Wang,2026,arXiv,misc,2602.07085,q-fin.ST,arXiv API,SYS-QUANTA-ALPHA,QuantaAlpha,F,yes,IN: LLM-driven self-evolving factor mining.
CensusArxiv260210886,CensusArxiv260210886,yes,https://arxiv.org/abs/2602.10886,The CLEF-2026 FinMMEval Lab: Multilingual and Multimodal Evaluation of Financial AI Systems,Zhuohan Xie; Rania Elbadry; Fan Zhang; Georgi Georgiev; Xueqing Peng; Lingfei Qian; Jimin Huang; Dimitar Dimitrov; Vanshikaa Jani; Yuyang Dai; Jiahui Geng; Yuxia Wang; Ivan Koychev; Veselin Stoyanov; Preslav Nakov,2026,arXiv,misc,2602.10886,cs.CL,arXiv API,SYS-FINMMEVAL-T3,FinMMEval 2026 Task 3,B,no,OUT: shared-task benchmark.
CensusArxiv260211917,CensusArxiv260211917,yes,https://arxiv.org/abs/2602.11917,AlphaPROBE: Alpha Mining via Principled Retrieval and On-graph biased evolution,Taian Guo; Haiyang Shen; Junyu Luo; Binqi Chen; Hongjun Ding; Jinsheng Huang; Luchen Liu; Yun Ma; Ming Zhang,2026,arXiv,misc,2602.11917,cs.AI,arXiv API,SYS-ALPHA-PROBE,AlphaPROBE,M,no,OUT: mechanistic alpha-mining comparator.
CensusArxiv260214670,CensusArxiv260214670,yes,https://arxiv.org/abs/2602.14670,FactorMiner: A Self-Evolving Agent with Skills and Experience Memory for Financial Alpha Discovery,Yanlong Wang; Jian Xu; Hongkang Zhang; Shao-Lun Huang; Danny Dongning Sun; Xiao-Ping Zhang,2026,arXiv,misc,2602.14670,q-fin.TR,arXiv API,SYS-FACTOR-MINER,FactorMiner,F,yes,IN: self-evolving factor discovery.
CensusArxiv260218481,CensusArxiv260218481,yes,https://arxiv.org/abs/2602.18481,AlphaForgeBench: Benchmarking End-to-End Trading Strategy Design with Large Language Models,Wentao Zhang; Mingxuan Zhao; Jincheng Gao; Jieshun You; Huaiyu Jia; Yilei Zhao; Bo An; Shuo Sun,2026,arXiv,misc,2602.18481,q-fin.TR,arXiv API,SYS-ALPHA-FORGE-BENCH,AlphaForgeBench,B,no,OUT: strategy-design benchmark.
CensusArxiv260219919,CensusArxiv260219919,yes,https://arxiv.org/abs/2602.19919,Janus-Q: End-to-End Event-Driven Trading via Hierarchical-Gated Reward Modeling,Xiang Li; Zikai Wei; Yiyan Qi; Wanyun Zhou; Xiang Liu; Penglei Sun; Jian Guo; Yongqi Zhang; Xiaowen Chu,2026,arXiv,misc,2602.19919,cs.CL,arXiv API,SYS-JANUS-Q,Janus-Q,T,yes,IN: produces sequential event-conditioned trades.
CensusArxiv260316365,CensusArxiv260316365,yes,https://arxiv.org/abs/2603.16365,FactorEngine: A Program-level Knowledge-Infused Factor Mining Framework for Quantitative Investment,Qinhong Lin; Ruitao Feng; Yinglun Feng; Zhenxin Huang; Yukun Chen; Zhongliang Yang; Linna Zhou; Binjie Fei; Jiaqi Liu; Yu Li,2026,arXiv,misc,2603.16365,cs.AI,arXiv API,SYS-FACTOR-ENGINE,FactorEngine,F,yes,IN: knowledge-infused executable factor discovery.
CensusArxiv260317692,CensusArxiv260317692,yes,https://arxiv.org/abs/2603.17692,Can Blindfolded LLMs Still Trade? An Anonymization-First Framework for Portfolio Optimization,Joohyoung Jeon; Hongchul Lee,2026,arXiv,misc,2603.17692,cs.LG,arXiv API,SYS-BLIND-TRADE,BlindTrade,T,yes,IN: sequential trading system.
CensusArxiv260320247,CensusArxiv260320247,yes,https://arxiv.org/abs/2603.20247,AlphaLogics: A Market Logic-Driven Multi-Agent System for Scalable and Interpretable Alpha Factor Generation,Zhangyuhua Weng; Shengli Zhang; Taotao Wang; Yihan Xia,2026,arXiv,misc,2603.20247,q-fin.CP,arXiv API,SYS-ALPHA-LOGICS,AlphaLogics,F,yes,IN: agentic interpretable factor generation.
CensusArxiv260322567,CensusArxiv260322567,yes,https://arxiv.org/abs/2603.22567,TrustTrade: Human-Inspired Selective Consensus Reduces Decision Uncertainty in LLM Trading Agents,Minghan Li; Rachel Gonsalves; Weiyue Li; Sunghoon Yoon; Mengyu Wang,2026,arXiv,misc,2603.22567,cs.CE,arXiv API,SYS-TRUST-TRADE,TrustTrade,T,yes,IN: sequential trading-agent method.
CensusArxiv260323300,CensusArxiv260323300,yes,https://arxiv.org/abs/2603.23300,Designing Agentic AI-Based Screening for Portfolio Investment,Mehmet Caner; Agostino Capponi; Nathan Sun; Jonathan Y. Tan,2026,arXiv,misc,2603.23300,q-fin.PM,arXiv API,SYS-AGENTIC-AI-SCREENING,Agentic AI Screening,F,yes,IN: agentic alpha-screening method.
CensusArxiv260409601,CensusArxiv260409601,yes,https://arxiv.org/abs/2604.09601,"Hubble: An LLM-Driven Agentic Framework for Safe, Diverse, and Reproducible Alpha Factor Discovery",Runze Shi; Shengyu Yan; Yuecheng Cai; Chengxi Lv,2026,arXiv,misc,2604.09601,cs.AI,arXiv API,SYS-HUBBLE,Hubble,F,yes,IN: agentic alpha/factor discovery.
CensusArxiv260415151,CensusArxiv260415151,yes,https://arxiv.org/abs/2604.15151,QuantCode-Bench: A Benchmark for Evaluating the Ability of Large Language Models to Generate Executable Algorithmic Trading Strategies,Alexey Khoroshilov; Alexey Chernysh; Orkhan Ekhtibarov; Nini Kamkia; Dmitry Zmitrovich,2026,arXiv,misc,2604.15151,cs.CL,arXiv API,SYS-QUANT-CODE-BENCH,QuantCode-Bench,B,no,OUT: executable-strategy code-generation benchmark.
CensusArxiv260417327,CensusArxiv260417327,yes,https://arxiv.org/abs/2604.17327,Signal or Noise in Multi-Agent LLM-based Stock Recommendations?,George Fatouros; Kostas Metaxas,2026,arXiv,misc,2604.17327,q-fin.PM,arXiv API,SYS-MARKET-SENSE-AI,MarketSenseAI lineage,T,yes,IN: sequential stock-analysis/trading system.
CensusArxiv260505580,CensusArxiv260505580,yes,https://arxiv.org/abs/2605.05580,AlphaCrafter: Harnessing Multi-Agent Workflows for Cross-Sectional Quantitative Trading,Yishuo Yuan; Jiayi Sheng; Sirui Zeng; Jiaqi Wang; Jiaheng Liu,2026,arXiv,misc,2605.05580,cs.AI,arXiv API,SYS-ALPHA-CRAFTER,AlphaCrafter,F,yes,IN: mines and screens cross-sectional factors.
CensusArxiv260506024,CensusArxiv260506024,yes,https://arxiv.org/abs/2605.06024,Strat-LLM: Stratified Strategy Alignment for LLM-based Stock Trading with Real-time Multi-Source Signals,Wenliang Huang; Zengyi Yu,2026,arXiv,misc,2605.06024,cs.AI,arXiv API,SYS-STRAT-LLM,Strat-LLM,T,yes,IN: LLM-generated sequential strategy system.
CensusArxiv260506822,CensusArxiv260506822,yes,https://arxiv.org/abs/2605.06822,SHARP: A Self-Evolving Human-Auditable Rubric Policy for Financial Trading Agents,Xiwen Chen; Wenhui Zhu; Songzhu Zheng; Kashif Rasul; Yueyue Deng; Huayu Li,2026,arXiv,misc,2605.06822,cs.LG,arXiv API,SYS-SHARP,SHARP,T,yes,IN: sequential trading/portfolio system.
CensusArxiv260515412,CensusArxiv260515412,yes,https://arxiv.org/abs/2605.15412,From Feedback Loops to Policy Updates: Reinforcement Fine-Tuning for LLM-Based Alpha Factor Discovery,Lingzhe Zhang; Tong Jia; Yunpeng Zhai; Zixuan Xie; Chiming Duan; Minghua He; Philip S. Yu; Ying Li,2026,arXiv,misc,2605.15412,cs.CE,arXiv API,SYS-QUANT-EVOLVER,QuantEvolver,F,yes,IN: reinforcement-fine-tuned alpha-factor discovery.
CensusArxiv260516895,CensusArxiv260516895,yes,https://arxiv.org/abs/2605.16895,The Alpha Illusion: Reported Alpha from LLM Trading Agents Should Not Be Treated as Deployment Evidence,Yuxuan Ye; Jun Han; Ao Hu; Juncheng Bu; Yiyi Chen; Liangjian Wen; Danilo Mandic; Danny Dongning Sun; Xu Yinghui; Zenglin Xu,2026,arXiv,misc,2605.16895,cs.CE,arXiv API,SYS-ALPHA-ILLUSION,The Alpha Illusion reporting protocol,B,no,OUT: reporting protocol and reproducibility audit.
CensusArxiv260523007,CensusArxiv260523007,yes,https://arxiv.org/abs/2605.23007,MadEvolve: Evolutionary Optimization of Trading Systems with Large Language Models,Yurii Kvasiuk; Tianyi Li; Owen Colegrove; Moritz Münchmeyer,2026,arXiv,misc,2605.23007,q-fin.TR,arXiv API,SYS-MAD-EVOLVE,MadEvolve,F,yes,IN: multi-agent evolutionary alpha discovery.
CensusArxiv260527887,CensusArxiv260527887,yes,https://arxiv.org/abs/2605.27887,"PortBench: A Correlation-Aware, Full-Pipeline Benchmark for LLM-Driven Portfolio Management",Yuxuan Zhao; Sijia Chen; Ningxin Su,2026,arXiv,misc,2605.27887,cs.AI,arXiv API,SYS-PORT-BENCH,PortBench,B,no,OUT: portfolio-agent benchmark.
CensusArxiv260528359,CensusArxiv260528359,yes,https://arxiv.org/abs/2605.28359,From Knowing to Doing: A Memory-Controlled Benchmark for LLM Trading Agents on Stock Markets,Taojie Zhu; Wentao Zhao; Rui Sun; Beidi Luan; Jiacheng Lu; Sinuo Wang; Jing Li; Daxin Jiang; Yonghong He; Zuo Bai,2026,arXiv,misc,2605.28359,cs.AI,arXiv API,SYS-KTD-FIN,KTD-Fin,B,no,OUT: benchmark/evaluation record.
CensusArxiv260528850,CensusArxiv260528850,yes,https://arxiv.org/abs/2605.28850,Representation Signatures and Risk-Feedback Alignment in LLM Trading Agents,Weicheng Xue,2026,arXiv,misc,2605.28850,cs.LG,arXiv API,SYS-TRADE-ARENA,TradeArena,B,no,OUT: trading-agent testbed.
CensusArxiv260608283,CensusArxiv260608283,yes,https://arxiv.org/abs/2606.08283,Macro Economists in the Machine: A Multi-Agent LLM Framework for Commodity-Related ETF Portfolio Construction,Yiqing Wang; Dehao Dai; Ding Ma; Kerui Geng,2026,arXiv,misc,2606.08283,q-fin.PM,arXiv API,SYS-MACRO-ECONOMISTS-MACHINE,Macro Economists in the Machine,T,yes,IN: agent-generated investment/portfolio decisions.
CensusArxiv260620625,CensusArxiv260620625,yes,https://arxiv.org/abs/2606.20625,AlphaMemo: Structured Search-Process Memory for Self-Evolving Alpha Mining Agents,Hang Yu; Zifan Zheng; Jeff Z. Pan; Tongliang Liu; Zhiyong Wang; Fengxiang He,2026,arXiv,misc,2606.20625,cs.AI,arXiv API,SYS-ALPHA-MEMO,AlphaMemo,F,yes,IN: memory-supported alpha discovery.
CensusArxiv260622385,CensusArxiv260622385,yes,https://arxiv.org/abs/2606.22385,MetaPS: Adaptive Programmatic Strategy Selection for Market Agents,Jiaxiang Chen; Aotian Luo; Zhouyi Zheng; Weiyi Huang; Chi Zhang; Zenglin Xu,2026,arXiv,misc,2606.22385,cs.AI,arXiv API,SYS-METAPS,MetaPS,T,yes,IN: sequential portfolio-strategy system.
CensusArxiv260629194,CensusArxiv260629194,yes,https://arxiv.org/abs/2606.29194,AI Trading's Alpha Singularity: Emergent Market Reasoning through Agent-to-Agent Self-Evolution,Yuqi Li; Siyuan Liu; Bingjun Liu,2026,arXiv,misc,2606.29194,cs.AI,arXiv API,SYS-AGORA,Agora — AI Trading's Alpha Singularity,F,yes,IN: agentic alpha-discovery method.
CensusArxiv260708332,CensusArxiv260708332,yes,https://arxiv.org/abs/2607.08332,XALPHA: A Memory-Driven AI Quant Researcher for Hypothesis-to-Code Alpha Discovery,Fengyuan Liu; Yuchen Fu; Yuqi Wang; Qi Liu,2026,arXiv,misc,2607.08332,cs.CL,arXiv API,SYS-XALPHA,XALPHA,F,yes,IN: formulaic alpha-discovery method.
CensusArxiv260711141,CensusArxiv260711141,yes,https://arxiv.org/abs/2607.11141,NextFund: A Unified Performance Tracking Platform for Agentic Portfolio Management,Changlun Li; Peixian Ma; Qiqi Duan; Zhenyu Lin; Peineng Wu,2026,arXiv,misc,2607.11141,cs.AI,arXiv API,SYS-NEXT-FUND,NextFund,B,no,OUT: fund-agent evaluation platform.
CensusArxiv260712233,CensusArxiv260712233,yes,https://arxiv.org/abs/2607.12233,Fin-Analyst at FinMMEval 2026 Task 3: A Live Hybrid Trading Agent with LLM Specialists and Rule-Based Signals,Mohotarema Rashid; Lingzi Hong; Junhua Ding; K. S. M. Tozammel Hossain,2026,arXiv,misc,2607.12233,cs.CL,arXiv API,SYS-FIN-ANALYST,Fin-Analyst at FinMMEval Task 3,T,yes,IN: eight-specialist LLM trading system.
CensusArxiv260716028,CensusArxiv260716028,yes,https://arxiv.org/abs/2607.16028,CLaC@FinMMEval 2026 Task 3: Sentiment-Augmented Deep Reinforcement Learning for Active Trading -- An Alpha-Reward Approach,Andrei Neagu; Eeham Khan; Leila Kosseim,2026,arXiv,misc,2607.16028,cs.LG,arXiv API,SYS-CLAC-FINMMEVAL,CLaC at FinMMEval Task 3,M,no,OUT: non-LLM/deep-RL comparator.
CensusArxiv260726642,CensusArxiv260726642,yes,https://arxiv.org/abs/2607.26642,AlphaSchema: Exploring the Space of Trading Semantics for LLM-Based Alpha Mining,Jingyang Yi; Jian Yang; Yifei Jin; Yuqi Li; Jian Li,2026,arXiv,misc,2607.26642,cs.AI,arXiv API,SYS-ALPHA-SCHEMA,AlphaSchema,F,yes,IN: schema-based alpha discovery.
CensusDOI10114535803053599831,CensusDOI10114535803053599831,yes,https://doi.org/10.1145/3580305.3599831,Generating Synergistic Formulaic Alpha Collections via Reinforcement Learning,Shuo Yu; Hongyan Xue; Xiang Ao; Feiyang Pan; Jia He; Dandan Tu; Qing He,2023,Proceedings of the 29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining,inproceedings,10.1145/3580305.3599831,,Crossref API,SYS-ALPHA-GEN,AlphaGen,M,no,OUT: RL formula-alpha comparator.
CensusDOI10114537682923770377,CensusDOI10114537682923770377,yes,https://doi.org/10.1145/3768292.3770377,FactorMAD: A Multi-Agent Debate Framework Based on Large Language Models for Interpretable Stock Alpha Factor Mining,Yitong Duan; chuheng zhang; Jian Li,2025,Proceedings of the 6th ACM International Conference on AI in Finance,inproceedings,10.1145/3768292.3770377,,Crossref API,SYS-FACTOR-MAD,FactorMAD,F,yes,IN: interpretable alpha-factor mining.
CensusDOI10114537708543785702,WorkFINSABER,yes,https://doi.org/10.1145/3770854.3785702,Can LLM-based Financial Investing Strategies Outperform the Market in Long Run?,Weixian Waylon Li; Hyeonjun Kim; Mihai Cucuringu; Tiejun Ma,2026,Proceedings of the 32nd ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.1,inproceedings,10.1145/3770854.3785702,,Crossref API,SYS-FINSABER,FINSABER lineage,B,no,"OUT: benchmark, not trading method."
CensusDOI10114537749043792821,WorkAgentMarketArena,yes,https://doi.org/10.1145/3774904.3792821,When Agents Trade: Live Multi-Market Trading Arena for LLM Agents,Lingfei Qian; Xueqing Peng; Yan Wang; Vincent Jim Zhang; Huan He; Hanley Smith; Yi Han; Yueru He; Haohang Li; Yupeng Cao; Yangyang Yu; Alejandro Lopez-Lira; Peng Lu; Jian-Yun Nie; Guojun Xiong; Jimin Huang; Sophia Ananiadou,2026,Proceedings of the ACM Web Conference 2026,inproceedings,https://doi.org/10.1145/3774904.3792821,,official project publication record,SYS-AGENT-MARKET-ARENA,Agent Market Arena,B,no,"OUT: benchmark/arena, not one alpha-generating method."
CensusDOI1036287setsci242017,WorkAICryptoAssistant,yes,https://doi.org/10.36287/setsci.24.2.017,AICrypto‑Assistant: A Multi‑Agent LLM Platform for Democratizing Crypto‑Asset Analysis,Mimoza Dimodugno; Mehdi Mammadov,2025,International Conference on Open Finance Proceedings,inproceedings,10.36287/setsci.24.2.017,,Crossref API,SYS-AICRYPTO-ASSISTANT,AICrypto-Assistant,C,no,"OUT: advisory/community platform, not F/T method."
CensusORlNmZrawUMu,CensusORlNmZrawUMu,yes,https://openreview.net/forum?id=lNmZrawUMu,AlphaAgentEvo: Evolution-Oriented Alpha Mining via Self-Evolving Agentic Reinforcement Learning,Ziyi Tang; Xuexiong Yin; Weixing Chen; Zechuan Chen; Yongsen Zheng; Wenxuan Ye; Keze Wang; Liang Lin,2026,International Conference on Learning Representations,inproceedings,lNmZrawUMu,,OpenReview primary record and ICLR publication record,SYS-ALPHA-AGENT-EVO,AlphaAgentEvo,F,yes,IN: self-evolving agentic-RL alpha mining.
CensusORziuTkKhgT0,CensusORziuTkKhgT0,yes,https://openreview.net/forum?id=ziuTkKhgT0,RAPTOR: Reasoned Agentic Portfolio Trading with Orchestrated Rebalancing,Blake Almon; Matthew Caliboso; Alex Kim; Rohan Dutta; Rohan Raman; Mithil Srungarapu; Vasu Sharma; Kevin Zhu,2025,NeurIPS 2025 Workshop on New Opportunities for Research and Applications in Finance,inproceedings,ziuTkKhgT0,,OpenReview primary record,SYS-RAPTOR,RAPTOR,T,yes,IN: reasoned portfolio trading and rebalancing.
CensusWebageuploadsICOF202500101SETSCIICOF202500101002pdf,WorkAICryptoAssistant,no,https://www.set-science.com/manage/uploads/ICOF2025_00101/SETSCI_ICOF2025_00101_002.pdf,AICrypto-Assistant: A Multi-Agent LLM Platform for Democratizing Crypto-Asset Analysis,Mimoza Dimodugno; Mehdi Mammadov,2025,International Conference on Open Finance,inproceedings,https://www.set-science.com/manage/uploads/ICOF2025_00101/SETSCI_ICOF2025_00101_002.pdf,,publisher-hosted conference paper,SYS-AICRYPTO-ASSISTANT,AICrypto-Assistant,C,no,"OUT: advisory/community platform, not F/T method."
